MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1869	hsa_circ_0055428	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1870	hsa_circ_0055538	circRNA	Homo sapiens	Oral squamous cell carcinoma	DOID:0050866		30857544	0.795006
MNDR-E-CIRC-1871	hsa_circ_0055551	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1872	hsa_circ_0055625	circRNA	Homo sapiens	Colon cancer	DOID:219	D003110	30520100	0.999424
MNDR-E-CIRC-1873	hsa_circ_0055711	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1874	hsa_circ_0055902	circRNA	Homo sapiens	Liver cirrhosis	DOID:5082	D008103	29789629	0.888683
MNDR-E-CIRC-1875	hsa_circ_0055902	circRNA	Homo sapiens	Early hepatocellular carcinoma	DOID:684	D006528	29789629	0.888683
MNDR-E-CIRC-1876	hsa_circ_0055902	circRNA	Homo sapiens	High grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1877	hsa_circ_0055902	circRNA	Homo sapiens	Low grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1878	hsa_circ_0055999	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1879	hsa_circ_0056254	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1880	hsa_circ_0056263	circRNA	Homo sapiens	Glioblastoma	DOID:3068	D005909	31905344	0.982118
MNDR-E-CIRC-1881	hsa_circ_0056280	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
