MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1732	hsa_circ_004520	circRNA	Homo sapiens	Acute myeloid leukemia	DOID:9119	D015470	30558617	0.795006
MNDR-E-CIRC-1733	hsa_circ_0045276	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1734	hsa_circ_0045279	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1735	hsa_circ_0045298	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1736	hsa_circ_0045510	circRNA	Homo sapiens	Hepatoblastoma	DOID:687	D018197	29414822	0.888683
MNDR-E-CIRC-1737	hsa_circ_0045714	circRNA	Homo sapiens	Osteoarthritis	DOID:8398	D010003	28795385	0.999424
MNDR-E-CIRC-1738	hsa_circ_0045865	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1739	hsa_circ_0045868	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1740	hsa_circ_0045881	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1741	hsa_circ_0046153	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1742	hsa_circ_0046249	circRNA	Homo sapiens	Non small cell lung cancer	DOID:3908	D002289	31005252	1
MNDR-E-CIRC-1743	hsa_circ_0046366	circRNA	Homo sapiens	Hepatic steatosis	DOID:9452	D005234	29391755	0.999424
MNDR-E-CIRC-1744	hsa_circ_0046419	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
